entry_id,posting_date,entity,department,account_category,description,vendor_counterparty,amount_usd,payment_terms_days,reconciliation_status
GL-10083,2026-01-27,Sub-Sahara Telco PLC,Customer Support,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,13564.3,60,RECONCILED
GL-10084,2026-01-28,Enterprise Cloud BV,Sales & Marketing,Sales & Marketing,LinkedIn B2B Lead Generation,Google Ads,7461.68,30,RECONCILED
GL-10085,2026-08-02,Enterprise Cloud BV,Data Infrastructure,Direct COGS,Stripe Payment Processing,OpenAI Inc,7423.28,45,RECONCILED
GL-10086,2026-11-14,Group HQ (US),Data Infrastructure,General & Admin,Office Facilities & Coworking,PwC Audit Advisory,5002.06,45,RECONCILED
GL-10087,2026-03-22,Enterprise Cloud BV,Sales & Marketing,Payroll & Benefits,Engineering Salaries,ADP TotalSource,11197.95,60,RECONCILED
GL-10088,2026-05-30,Group HQ (US),Sales & Marketing,Gross Revenue,Enterprise Multi-Year License,Fintech Payment Partner,19982.58,30,PENDING_AUDIT
GL-10089,2026-11-17,Enterprise Cloud BV,Customer Support,Gross Revenue,SaaS Platform Subscriptions,Mid-Market B2B SaaS Client,22939.26,30,RECONCILED
GL-10090,2026-03-26,Sub-Sahara Telco PLC,Data Infrastructure,Payroll & Benefits,Contract Data Engineers,Remote.com Global,6793.65,45,RECONCILED
GL-10091,2026-12-25,EMEA Logistics Ltd,General & Admin,Direct COGS,Stripe Payment Processing,Cloudflare CDN,1419.4,30,PENDING_AUDIT
GL-10092,2026-06-15,Sub-Sahara Telco PLC,Engineering & R&D,Gross Revenue,Professional Advisory Retainer,Fortune 500 Enterprise Client,29989.31,60,RECONCILED
GL-10093,2026-10-23,Group HQ (US),Sales & Marketing,Direct COGS,Third-Party LLM API Credits,Cloudflare CDN,5538.4,30,FLAGGED_VARIANCE
GL-10094,2026-08-12,EMEA Logistics Ltd,Engineering & R&D,Direct COGS,Stripe Payment Processing,OpenAI Inc,3272.15,30,RECONCILED
GL-10095,2026-06-18,EMEA Logistics Ltd,Customer Support,Gross Revenue,Enterprise Multi-Year License,Fortune 500 Enterprise Client,46837.81,45,RECONCILED
GL-10096,2026-03-01,EMEA Logistics Ltd,Data Infrastructure,Sales & Marketing,Google Search & Ads Campaign,Meta Business,4805.98,30,RECONCILED
GL-10097,2026-11-15,EMEA Logistics Ltd,Customer Support,Sales & Marketing,Google Search & Ads Campaign,HubSpot Marketing,5893.76,45,RECONCILED
GL-10098,2026-12-24,EMEA Logistics Ltd,Engineering & R&D,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,22744.57,45,RECONCILED
GL-10099,2026-10-10,EMEA Logistics Ltd,Engineering & R&D,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,23808.87,60,RECONCILED
GL-10100,2026-09-13,Sub-Sahara Telco PLC,Data Infrastructure,Payroll & Benefits,Executive Compensation,Mercer Benefits,34545.63,30,RECONCILED
GL-10101,2026-03-16,EMEA Logistics Ltd,Sales & Marketing,General & Admin,Software Subscriptions (Slack/GitHub),PwC Audit Advisory,2214.46,45,RECONCILED
GL-10102,2026-08-01,Sub-Sahara Telco PLC,Data Infrastructure,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,18836.15,60,RECONCILED
GL-10103,2026-12-04,EMEA Logistics Ltd,Sales & Marketing,Direct COGS,Stripe Payment Processing,OpenAI Inc,3359.79,60,RECONCILED
GL-10104,2026-06-14,Enterprise Cloud BV,Sales & Marketing,Payroll & Benefits,Engineering Salaries,Mercer Benefits,7001.94,60,RECONCILED
GL-10105,2026-07-15,EMEA Logistics Ltd,Sales & Marketing,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,8131.62,60,RECONCILED
GL-10106,2026-02-21,EMEA Logistics Ltd,Engineering & R&D,Direct COGS,Stripe Payment Processing,Amazon Web Services,6362.82,45,RECONCILED
GL-10107,2026-03-21,Group HQ (US),Customer Support,Sales & Marketing,LinkedIn B2B Lead Generation,HubSpot Marketing,5126.53,45,RECONCILED
GL-10108,2026-06-18,EMEA Logistics Ltd,General & Admin,Payroll & Benefits,Executive Compensation,ADP TotalSource,26201.57,30,RECONCILED
GL-10109,2026-05-28,Enterprise Cloud BV,Engineering & R&D,Direct COGS,AWS Cloud Compute & S3,Amazon Web Services,7322.76,60,RECONCILED
GL-10110,2026-01-15,Group HQ (US),General & Admin,Sales & Marketing,LinkedIn B2B Lead Generation,HubSpot Marketing,3561.5,30,RECONCILED
GL-10111,2026-07-30,Enterprise Cloud BV,Sales & Marketing,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,20492.76,30,RECONCILED
GL-10112,2026-10-26,Enterprise Cloud BV,Sales & Marketing,Direct COGS,Stripe Payment Processing,Cloudflare CDN,2766.02,30,PENDING_AUDIT
GL-10113,2026-08-27,Sub-Sahara Telco PLC,Data Infrastructure,Gross Revenue,Enterprise Multi-Year License,National Telecom Operator,84135.62,45,RECONCILED
GL-10114,2026-08-06,Sub-Sahara Telco PLC,Customer Support,Sales & Marketing,Google Search & Ads Campaign,Meta Business,8326.68,30,RECONCILED
GL-10115,2026-10-20,Sub-Sahara Telco PLC,Data Infrastructure,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,5548.49,60,RECONCILED
GL-10116,2026-01-05,Group HQ (US),Data Infrastructure,Payroll & Benefits,Executive Compensation,Gusto Payroll,25962.49,45,RECONCILED
GL-10117,2026-04-08,Sub-Sahara Telco PLC,Sales & Marketing,Payroll & Benefits,Contract Data Engineers,ADP TotalSource,5817.0,45,RECONCILED
GL-10118,2026-07-06,Enterprise Cloud BV,Engineering & R&D,General & Admin,Audit & Corporate Legal Retainers,Salesforce Inc,3756.4,30,RECONCILED
GL-10119,2026-07-07,Sub-Sahara Telco PLC,Sales & Marketing,Gross Revenue,Enterprise Multi-Year License,National Telecom Operator,67259.15,45,RECONCILED
GL-10120,2026-08-28,Group HQ (US),Sales & Marketing,Sales & Marketing,Google Search & Ads Campaign,Meta Business,9238.16,60,RECONCILED
GL-10121,2026-07-22,Group HQ (US),General & Admin,Direct COGS,Stripe Payment Processing,OpenAI Inc,5980.78,60,RECONCILED
GL-10122,2026-07-15,Sub-Sahara Telco PLC,Engineering & R&D,Payroll & Benefits,Executive Compensation,ADP TotalSource,26249.58,60,RECONCILED
GL-10123,2026-11-09,Enterprise Cloud BV,Engineering & R&D,Payroll & Benefits,Executive Compensation,Remote.com Global,26932.51,30,RECONCILED
GL-10124,2026-01-20,Sub-Sahara Telco PLC,Customer Support,Gross Revenue,SaaS Platform Subscriptions,Mid-Market B2B SaaS Client,11244.53,45,RECONCILED
GL-10125,2026-12-23,EMEA Logistics Ltd,Data Infrastructure,Payroll & Benefits,Engineering Salaries,Mercer Benefits,14031.6,45,RECONCILED
GL-10126,2026-05-24,Group HQ (US),General & Admin,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,74881.51,30,FLAGGED_VARIANCE
GL-10127,2026-07-08,Sub-Sahara Telco PLC,Engineering & R&D,Direct COGS,AWS Cloud Compute & S3,Amazon Web Services,14296.35,45,RECONCILED
GL-10128,2026-04-19,Group HQ (US),Engineering & R&D,Sales & Marketing,Google Search & Ads Campaign,LinkedIn B2B Marketing,7795.82,30,RECONCILED
GL-10129,2026-10-11,Enterprise Cloud BV,Data Infrastructure,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,19923.29,60,RECONCILED
GL-10130,2026-03-16,Enterprise Cloud BV,Data Infrastructure,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,17373.8,30,RECONCILED
GL-10131,2026-07-03,Enterprise Cloud BV,Data Infrastructure,Direct COGS,AWS Cloud Compute & S3,OpenAI Inc,1923.11,60,RECONCILED
GL-10132,2026-02-28,Group HQ (US),Customer Support,Direct COGS,Stripe Payment Processing,Amazon Web Services,4280.44,30,PENDING_AUDIT
GL-10133,2026-01-23,Sub-Sahara Telco PLC,Customer Support,Payroll & Benefits,Engineering Salaries,ADP TotalSource,17983.75,45,RECONCILED
GL-10134,2026-02-25,EMEA Logistics Ltd,Customer Support,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,16186.69,30,RECONCILED
GL-10135,2026-11-16,Sub-Sahara Telco PLC,Customer Support,General & Admin,Software Subscriptions (Slack/GitHub),Baker McKenzie LLP,1352.8,60,RECONCILED
GL-10136,2026-12-26,Group HQ (US),Data Infrastructure,Payroll & Benefits,Engineering Salaries,Mercer Benefits,11692.88,30,RECONCILED
GL-10137,2026-08-21,EMEA Logistics Ltd,Customer Support,Payroll & Benefits,Executive Compensation,Mercer Benefits,19188.04,45,RECONCILED
GL-10138,2026-03-20,EMEA Logistics Ltd,Engineering & R&D,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,12217.22,60,RECONCILED
GL-10139,2026-03-08,Group HQ (US),Data Infrastructure,General & Admin,Software Subscriptions (Slack/GitHub),Baker McKenzie LLP,1807.03,45,RECONCILED
GL-10140,2026-12-07,EMEA Logistics Ltd,Engineering & R&D,General & Admin,Software Subscriptions (Slack/GitHub),Baker McKenzie LLP,1138.46,60,RECONCILED
GL-10141,2026-03-21,EMEA Logistics Ltd,Sales & Marketing,Sales & Marketing,LinkedIn B2B Lead Generation,HubSpot Marketing,1923.78,45,RECONCILED
GL-10142,2026-08-08,Group HQ (US),Data Infrastructure,General & Admin,Software Subscriptions (Slack/GitHub),Baker McKenzie LLP,460.8,45,RECONCILED
GL-10143,2026-06-08,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,4065.67,60,RECONCILED
GL-10144,2026-01-16,Group HQ (US),Data Infrastructure,Gross Revenue,Enterprise Multi-Year License,Fintech Payment Partner,38862.72,45,RECONCILED
GL-10145,2026-06-16,Group HQ (US),Engineering & R&D,Gross Revenue,Professional Advisory Retainer,Fortune 500 Enterprise Client,21849.22,45,RECONCILED
GL-10146,2026-08-06,EMEA Logistics Ltd,Data Infrastructure,Direct COGS,Stripe Payment Processing,Stripe Inc,6613.06,30,RECONCILED
GL-10147,2026-02-26,Sub-Sahara Telco PLC,Data Infrastructure,Direct COGS,Third-Party LLM API Credits,OpenAI Inc,749.8,45,FLAGGED_VARIANCE
GL-10148,2026-01-29,Group HQ (US),Sales & Marketing,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,11745.42,45,RECONCILED
GL-10149,2026-01-04,EMEA Logistics Ltd,Customer Support,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,50018.36,60,RECONCILED
GL-10150,2026-02-06,EMEA Logistics Ltd,Engineering & R&D,Direct COGS,Stripe Payment Processing,Amazon Web Services,7438.25,60,RECONCILED
GL-10151,2026-07-27,EMEA Logistics Ltd,General & Admin,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,6367.15,60,RECONCILED
GL-10152,2026-12-20,Sub-Sahara Telco PLC,Engineering & R&D,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,7212.34,45,RECONCILED
GL-10153,2026-07-22,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,13985.87,30,RECONCILED
GL-10154,2026-04-10,Sub-Sahara Telco PLC,General & Admin,Payroll & Benefits,Contract Data Engineers,Gusto Payroll,5272.02,30,RECONCILED
GL-10155,2026-03-30,Enterprise Cloud BV,Engineering & R&D,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,16598.83,60,RECONCILED
GL-10156,2026-08-18,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,12449.68,45,RECONCILED
GL-10157,2026-10-30,Group HQ (US),General & Admin,Direct COGS,Stripe Payment Processing,Cloudflare CDN,4279.74,30,RECONCILED
GL-10158,2026-05-27,Group HQ (US),Engineering & R&D,Payroll & Benefits,Contract Data Engineers,Mercer Benefits,6970.34,60,PENDING_AUDIT
GL-10159,2026-01-22,EMEA Logistics Ltd,Data Infrastructure,Payroll & Benefits,Executive Compensation,Mercer Benefits,23531.45,30,RECONCILED
GL-10160,2026-06-25,Group HQ (US),Data Infrastructure,Payroll & Benefits,Engineering Salaries,Gusto Payroll,14637.65,45,RECONCILED
GL-10161,2026-11-09,Enterprise Cloud BV,General & Admin,Direct COGS,Stripe Payment Processing,Cloudflare CDN,3947.52,45,RECONCILED
GL-10162,2026-01-27,Sub-Sahara Telco PLC,Engineering & R&D,Direct COGS,Third-Party LLM API Credits,Cloudflare CDN,2062.81,60,RECONCILED
GL-10163,2026-11-05,Enterprise Cloud BV,General & Admin,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,27918.66,45,PENDING_AUDIT
GL-10164,2026-12-24,EMEA Logistics Ltd,Sales & Marketing,Payroll & Benefits,Engineering Salaries,Remote.com Global,12927.6,60,RECONCILED
GL-10165,2026-03-07,Group HQ (US),Customer Support,Direct COGS,AWS Cloud Compute & S3,OpenAI Inc,5462.35,30,RECONCILED
GL-10166,2026-09-06,Enterprise Cloud BV,Sales & Marketing,General & Admin,Office Facilities & Coworking,WeWork Management,3683.17,30,RECONCILED
GL-10167,2026-10-04,Group HQ (US),General & Admin,Sales & Marketing,Global SaaS Summit Booth,LinkedIn B2B Marketing,16944.93,30,RECONCILED
GL-10168,2026-12-21,Enterprise Cloud BV,Customer Support,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,82871.2,60,RECONCILED
GL-10169,2026-08-18,Enterprise Cloud BV,Data Infrastructure,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,40748.87,60,FLAGGED_VARIANCE
GL-10170,2026-08-25,Sub-Sahara Telco PLC,Customer Support,Direct COGS,Stripe Payment Processing,Stripe Inc,7090.06,60,RECONCILED
GL-10171,2026-05-09,Group HQ (US),Customer Support,Sales & Marketing,Global SaaS Summit Booth,Google Ads,19228.02,60,RECONCILED
GL-10172,2026-05-26,Group HQ (US),Sales & Marketing,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,25776.17,30,PENDING_AUDIT
GL-10173,2026-04-24,EMEA Logistics Ltd,General & Admin,General & Admin,Audit & Corporate Legal Retainers,WeWork Management,5964.54,45,RECONCILED
GL-10174,2026-02-11,Sub-Sahara Telco PLC,Sales & Marketing,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,20306.06,30,RECONCILED
GL-10175,2026-08-30,Enterprise Cloud BV,Customer Support,Direct COGS,AWS Cloud Compute & S3,Amazon Web Services,1462.25,30,RECONCILED
GL-10176,2026-10-08,EMEA Logistics Ltd,Engineering & R&D,Sales & Marketing,Google Search & Ads Campaign,HubSpot Marketing,2474.79,30,RECONCILED
GL-10177,2026-11-15,EMEA Logistics Ltd,Engineering & R&D,Gross Revenue,Enterprise Multi-Year License,Fortune 500 Enterprise Client,59236.85,60,RECONCILED
